54258D4C-5342-4A18-B318-036777001F7C,AmdFabricFf3Dxe
2345FB4D-0B26-4A14-AA2E-F7B955154495,StibpFeatureDxe
760F874E-B8CB-405E-AA32-A46AE2F3D680,VariableDefaultUpdate
53BCC14F-C24F-434C-B294-8ED2D4CC1860,DataHubDxe
78D19E50-2B62-407F-9F49-C652A4124002,VariableRegionInfoDxe
54AFED50-5999-4594-9B79-F0AAA09FA32C,DashIoCfgDxe
B1BAC051-D5C2-4AC1-AC7D-9D2F518A1E7B,AmdApcbSmmV3
5E566252-4F6C-071A-485D-C0B6CD6D05EF,AmdPspP2CmboxV2SmmBuffer
02636A53-7F99-45AB-A891-E97EF35D3AD9,FchSmbusDxe
44A20657-10B8-4049-A148-ACD8812AF257,Tcg2Smm
53AD0657-8A74-4358-9F32-04AB4B5A0B92,SecureFlashEspFlagSmm
80CF7257-87AB-47F9-A3FE-D50B76D89541,PcdSmmDxe
D27FED59-ABB4-4FED-BEAD-2A878C7E4A7E,SmbiosMeasurementDxe
84D4AD5B-1702-442E-BDD8-57E1196111E5,SmmAccessDxe2
9C452F5C-6200-4AA6-8068-F44B4F36D41E,H2OKeyDescDxe
F122A15C-C10B-4D54-8F48-60F4F06DD1AD,LegacyBiosDxe
ED63405E-DA58-44CA-A798-7C9D65BD628B,ANX7580OCMflash
B795675E-7583-4F98-AC6A-F9DDBBCC32E8,SystemFirmwareManagementRuntimeDxe
96BDEA61-C364-4513-B6B3-037E9AD54CE4,SetSsidSvidDxe
348C4D62-BFBD-4882-9ECE-C80BB1C4783B,HiiDatabase
1353DE63-B74A-4BEF-80FD-2C5CFA83040B,GifDecoderDxe
378D7B65-8DA9-4773-B6E4-A47826A833E1,PcRtc
AFD69E65-1CB3-472C-BE63-0C98A2C0665C,RAIDXpert2_F50_0x00
70D57D67-7F05-494D-A014-B75D7345B700,StorageSecurityCommandDxe
5E05B469-F355-406A-8DE4-D4CC0CA7FB2F,FchSGSataD3ColdSmm
2818256A-6BDB-4871-993C-95315854012E,EdidOverrideDxe
CD1C556B-62BF-4EEC-8E73-7731F8E847B2,AmdCpmGpioInitSmm
8C8A2E6C-A56C-4A6C-8C9B-B4B6BB4208AE,NvmeRaidDxe
3ACC966D-8E33-45C6-B4FE-62724BCD15A9,AhciBusDxe
2707E46D-DBD7-41C2-9C04-C9FDB8BAD86C,JpegDecoderDxe
8624F36D-6DE0-44C3-8322-74AD419D3A90,AmdErrorLogDxe
87C2106E-8790-459D-BD44-2EF32A68C3F9,IhisiServicesSmm
69F04F6E-BCCF-45F8-894E-2C68088F94FF,I2cKbDxe
531AED6E-3DEE-45EB-8DF1-B70ADB1F885D,TrueTypeDecoderDxe
D303BB6F-7434-41FD-BC8E-0984A03C9B7D,AmdCpmAcpPowerGatingDxe
AD608272-D07F-4964-801E-7BD3B7888652,MonotonicCounterRuntimeDxe
C8339973-A563-4561-B858-D8476F9DEFC4,Metronome
A622AB73-1E7F-43C8-A465-0D5B267F1A37,MicrowindowsDxe
A210F973-229D-4F4D-AA37-9895E6C9EABA,DpcDxe
A2760074-ED4C-4719-8382-C942CBF16D85,DisplayTypeDxe
B8E62775-BB0A-43F0-A843-5BE8B14F8CCD,BootGraphicsResourceTableDxe
3DC82376-637B-40A6-A8FC-A565417F2C38,Ps2KeyboardDxe
400B4476-3081-11D6-87ED-00062945C3B9,LegacySpeakerDxe
C613EC78-63ED-4B93-ACD4-54B3D4CCC268,NetworkLockerDxe
729B3079-8913-4E12-AFEF-2CA264799469,AmdAcpiDxe
13863F79-D94B-4205-BB0F-E4E06AAA5A4E,DelayUefiRaidOprom
FF189B79-F558-4B6A-8A78-6FCD2B4B0E3C,FrontPageDxe
6069277B-246B-45D5-BD6D-81820E10C11F,CommonSmiCallBackSmm
F56E697B-3EF8-471D-3EF8-6B6636A6F2F8,InstallWsmtDxe
